Valence,Energy,ID Check
0.534,0.758,4VginDwYTP2eaHJzO0QMjG
0.226,0.642,6EOKwHETwSkZ9gW2b6ASE0
0.412,0.624,5qmq61DAAOUaW8AUo8xKhh
0.749,0.548,6v3KW9xbzN5yKLt9YKDYA2
0.175,0.653,6vBdBCoOhKHiYDDOcorfNo
0.137,0.454,6XHVuErjQ4XNm6nDPVCxVX
0.453,0.543,1dGr1c8CrMLDpV6mPbImSI
0.101,0.502,5ry2OE6R2zPQFDO85XkgRb
0.206,0.517,3s4mrPrEFFPF0LmAfutW0n
0.913,0.479,3KkXRkHbMCARz0aVfEt68P
0.475,0.594,6fTt0CH2t0mdeB2N9XFG5r
0.562,0.425,2Fxmhks0bxGSBdJ92vM42m
0.844,0.662,2gwkD6igEhQbDQegRCcdoB
0.633,0.658,3RauEVgRgj1IuWdJ9fDs70
0.446,0.405,7qEHsqek33rTcFNT9PFqLf
0.546,0.647,70eFcWOvlMObDhURTqT4Fv
0.702,0.795,0Ryd8975WihbObpp5cPW1t
0.186,0.561,6alCTRgBPoeAFi2N4il9Q4
0.496,0.391,51Fjme0JiitpyXKuyQiCDo
0.714,0.671,6RRNNciQGZEXnqk8SQ9yv5
0.535,0.919,3Yh9lZcWyKrK9GjbhuS0hR
0.46,0.463,5MPPttjfGap2C6j6eKcO6J
0.892,0.596,1GeNui6m825V8jP4uKiIaH
0.385,0.665,0DZJACISivjWjscIp5Kg1q
0.345,0.682,6b2RcmUt1g9N9mQ3CbjX2Y
0.564,0.702,1BxfuPKGuaTgP7aM0Bbdwr
0.57,0.814,5N1o6d8zGcSZSeMFkOUQOk
0.559,0.651,5Z8HZM6iQMhhqyPcCGY5g9
0.831,0.532,3TLwAp3uX1nKsVxrDhNPOL
0.639,0.619,2YpeDb67231RjR0MgVLzsG
0.905,0.743,643PW82aBMUa1FiWi5VQY7
0.261,0.639,6uFn47ACjqYkc0jADwEdj1
0.568,0.511,67XyC1GdSkKb9sbRRkUDXS
0.541,0.316,43rA71bccXFGD4C8GOpIlN
0.678,0.559,7aiClxsDWFRQ0Kzk5KI5ku
0.51,0.582,5xjei7JnROsAzLY2a7RdZU
0.288,0.538,44ADyYoY5liaRa3EOAl4uf
0.312,0.525,2zjGJ0dChMR0KxBZS15aqo
0.346,0.4,6TqXcAFInzjp0bODyvrWEq
0.609,0.808,2ksOAxtIxY8yElEWw8RhgK
0.843,0.676,0hVXuCcriWRGvwMV1r5Yn9
0.385,0.539,6MWtB6iiXyIwun0YzU6DFP
0.463,0.364,2JvzF1RMd7lE3KmFlsyZD8
0.881,0.887,0rIAC4PXANcKmitJfoqmVm
0.54,0.593,1rgnBhdG2JDFTbYkYRZAku
0.865,0.719,4y5bvROuBDPr5fuwXbIBZR
0.265,0.687,2B9wgj9XzbJZLty03PRbVo
0.138,0.215,3RIgHHpnFKj5Rni1shokDj
0.446,0.73,2xLMifQCjDGFmkHkpNLD9h
0.413,0.498,5hVghJ4KaYES3BFUATCYn0
0.678,0.558,322tcqPhma7F6hfCeLisx0
0.397,0.463,6moU77g9RQyMzHNuKEaQKq
0.605,0.65,6cjSh516BbrNUs213jDAGm
0.244,0.624,2TH65lNHgvLxCKXM3apjxI
0.416,0.366,2YWtcWi3a83pdEg3Gif4Pd
0.695,0.547,4sjiIpEv617LDXaidKioOI
0.728,0.83,2Rk4JlNc2TPmZe2af99d45
0.554,0.519,4a6q8CR2hzLk2plDkSxkfD
0.487,0.747,214nt20w5wOxJnY462klLw
0.544,0.496,2IRZnDFmlqMuOrYOLnZZyc
0.434,0.662,1wJRveJZLSb1rjhnUHQiv6
0.322,0.502,0UPBidRYcgJ2mjZlk08V8x
0.584,0.488,7rvyVWja33WG9R97oeJAjx
0.496,0.538,0Oqc0kKFsQ6MhFOLBNZIGX
0.389,0.662,78QR3Wp35dqAhFEc2qAGjE
0.207,0.603,3XiNC94b4Tq1xwv70sQJGN
0.218,0.566,285pBltuF7vW8TeWk8hdRR
0.131,0.67,1kK6DwzyXJSp58u5HYWwuD
0.439,0.623,4hPpVbbakQNv8YTHYaOJP4
0.74,0.73,7eBqSVxrzQZtK2mmgRG6lC
0.248,0.624,12M5uqx0ZuwkpLp5rJim1a
0.843,0.889,0k664IuFwVP557Gnx7RhIl
0.557,0.71,1LLXZFeAHK9R4xUramtUKw
0.42,0.461,26wLOs3ZuHJa2Ihhx6QIE6
0.587,0.811,5KBARWIxeMGkvUax9VtVC9
0.357,0.505,6wo37KVqFJhtuxPTpLCcfe
0.811,0.678,5dW1VZPcFqB4n0P08rGDgm
0.203,0.452,7MtVPRGtZl6rPjMfLoI3Lh
0.452,0.676,5rU6kDNXZLXIinFezpbWbO
0.166,0.574,3pHkh7d0lzM2AldUtz2x37
0.952,0.734,22vgEDb5hykfaTwLuskFGD
0.313,0.732,2dgFqt3w9xIQRjhPtwNk3D
0.549,0.635,2rMAtCaTj16NptyVfEIeAC
0.137,0.559,3j84U36KvLeXNDPv4t5pI8
0.327,0.317,6ocbgoVGwYJhOv1GgI9NsF
0.341,0.578,7dt6x5M1jzdTEt8oCbisTK
0.129,0.52,0e7ipj03S05BNilyu5bRzt
0.12,0.296,0u2P5u6lvoDfwTYjAADbn4
0.599,0.509,00ko9WaS4jOX1kEk3gvHjf
0.479,0.59,4hanO6Du5J7QEguNHYZHmw
0.578,0.692,6Hj9jySrnFppAI0sEMCZpJ
0.198,0.111,43zdsphuZLzwA9k4DJhU0I
0.429,0.646,0fea68AdmYNygeTGI4RC18
0.556,0.428,6PYnUsNEpYC7A4BS2sjw3L
0.671,0.792,2dpaYNEQHiRxtZbfNsse99
0.87,0.823,2bT1PH7Cw3J9p3t7nlXCdh
0.112,0.552,6zeeWid2sgw4lap2jV61PZ
0.329,0.686,7FGq80cy8juXBCD2nrqdWU
0.196,0.477,3AEgic4yp82NxMWUjHtxnO
0.337,0.624,2ZGvw7BpnUHG89yt8fNxH7
0.148,0.334,2mdEsXPu8ZmkHRRtAdC09e
0.329,0.588,2sqsNXfN0HtgDEgaHXiUTa
0.371,0.758,6osaMSJh9NguagEDQcZaKx
0.591,0.644,0Rx0DJI556Ix5gBny6EWmn
0.473,0.613,3ee8Jmje8o58CHK66QrVC2
0.399,0.449,1SymEzIT3H8UZfibCs3TYi
0.43,0.728,6gBFPUFcJLzWGx4lenP6h2
0.386,0.438,3GJ4hzg4lrGwU51Y3VARbF
0.664,0.647,5WnfnSpuNEGXyEt78PBA6d
